ada
adalah
adanya
adapun
agak
agaknya
agar
ah
aja
akan
akankah
akhirnya
aku
akulah
amat
amatlah
anda
andalah
antar
antara
antaranya
apa
apaan
apabila
apakah
apalagi
apatah
atau
ataukah
ataupun
bagai
bagaikan
bagaimana
bagaimanakah
bagaimanapun
bagi
bahkan
bahwa
bahwasanya
banget
banyak
beberapa
begini
beginian
beginikah
beginilah
begitu
begitukah
begitulah
begitupun
belum
belumlah
berapa
berapakah
berapalah
berapapun
bermacam
bersama
betulkah
biasa
biasanya
bila
bilakah
bisa
bisakah
boleh
bolehkah
bolehlah
buat
bukan
bukankah
bukanlah
bukannya
cuma
dahulu
dahulu
dalam
dan
dapat
dari
daripada
deh
dekat
demi
demikian
demikianlah
dengan
depan
dgn
di
dia
dialah
diantara
diantaranya
dikarenakan
dini
diri
dirinya
disini
disinilah
dong
dulu
eh
enggak
enggaknya
entah
entahlah
follow
ga
gak
gak
gitu
gk
gue
ha
haha
hahaha
hai
hal
hampir
hanya
hanyalah
harus
haruslah
harusnya
hendak
hendaklah
hendaknya
hingga
hua
ia
ialah
ibarat
ingin
inginkah
inginkan
ini
inikah
inilah
itu
itukah
itulah
iya
jadi
jangan
jangankan
janganlah
jd
jgn
jika
jikalau
juga
justru
kak
kal
kala
kalau
kalaulah
kalaupun
kalian
kalo
kami
kamilah
kamu
kamulah
kan
kapan
kapankah
kapanpun
karena
karenanya
kau
ke
kecil
kemudian
kenal
kenapa
kepada
kepadanya
ketika
khususnya
kini
kinilah
kiranya
kita
kitalah
kok
kok
ku
la
lagi
lagian
lah
lain
lainnya
lalu
lama
lamanya
lebih
lg
lo
lu
macam
maka
makanya
makin
malah
malahan
mampu
mampukah
mana
manakala
manalagi
masih
masihkah
masing
mau
maupun
melainkan
melalui
memang
mengapa
mereka
merkalah
merupakan
meski
meskipun
mugkinkah
mungkin
nah
nak
namun
nanti
nantinya
nya
nyaris
oleh
olehnya
orang
pada
padahal
padanya
paling
pantas
para
pasti
pastilah
percuma
percuma
pernah
pula
pun
rt
rupanya
saaatnya
saat
saja
sajalah
salam
saling
sama
sambil
sampai
sana
sangat
sangatlah
saya
sayalah
se
sebab
sebabnya
sebagai
sebagaimana
sebagainya
sebaliknya
sebanyak
sebegini
sebegitu
sebelum
sebelumnya
sebenarnya
seberapa
sebetulnya
sebisanya
sebuah
sedang
sedangkan
sedemikian
sedikit
sedikitnya
seekali
segala
segalanya
segara
seharusnya
sehingga
sejak
sejenak
sekali
sekalian
sekaligus
sekalipun
sekarang
seketika
sekiranya
sekitar
sekitarnya
sela
selagi
selain
selaku
selalu
selama
selamanya
seluruh
seluruhnya
semacam
semakin
semasih
semaunya
sementara
sempat
semua
semuanya
semula
sendiri
sendirinya
seolah
seorang
sepanjang
sepantasnya
sepantasnyalah
seperti
sepertinya
sering
serta
serupa
sesaat
sesama
sesegera
seseorang
sesuatu
sesuatunya
sesudah
sesudahnya
setelah
seterusnya
setiap
sewaktu
si
siapa
siapakah
siapapun
sini
sinilah
suatu
sudah
sudahkah
sudahlah
supaya
tadi
tadinya
tak
tanpa
tapi
tau
telah
tentang
tentu
tentulah
tentunya
terdiri
terhadap
terhadapnya
terimakasih
terlalu
terlebih
tersebut
tersebutlah
tertentu
tetapi
tiap
toh
udah
udh
unfoll
untuk
waduh
wah
wahai
walau
walaupun
wkwk
wong
ya
yaa
yaitu
yakni
yang
yg
